READ1	READ2	READ3	READ4
4	6	3	6
0	0	0	3
3	4	1	2
0	0	0	0
0	1	0	1
0	0	0	0
4	2	3	6
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
9863	14854	6892	6138
724	1101	807	769
8	11	7	5
291	464	467	374
0	0	0	0
1	5	16	17
0	0	1	1
1	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
844	1176	771	706
0	0	0	0
676	1139	766	652
2	1	8	11
0	1	0	0
17	16	32	37
2	2	5	7
0	0	0	0
2708	3962	1468	1242
61	85	45	42
0	0	0	0
4	5	12	7
8	12	2	5
0	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
61	57	134	117
8	15	7	13
0	0	1	0
1741	2629	1720	1560
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
30	20	15	10
8	8	3	10
0	1	0	0
1	1	0	0
0	0	0	0
0	0	0	0
1440	2181	1955	1799
0	0	0	0
38	39	15	16
0	0	2	0
35	50	30	22
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	2	0	2
0	0	0	0
0	0	0	0
0	0	0	0
3	3	1	3
2	0	1	2
0	0	0	0
0	0	0	0
0	1	0	0
0	3	16	28
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	1	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
45	69	55	43
4	9	9	3
0	0	0	0
0	0	1	1
0	0	0	2
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	1	0	0
0	0	0	0
2	11	4	4
0	0	0	0
0	0	0	0
2	4	3	3
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
